time,humidity,temperature
2017-11-16 20:14:02.364760,54.5,20.7999992371
2017-11-16 20:15:20.254258,54.9000015259,20.8999996185
2017-11-16 20:16:02.484959,54.7999992371,20.7999992371
2017-11-16 20:17:02.622307,54.7999992371,20.8999996185
2017-11-16 20:18:01.725236,54.7000007629,20.8999996185
2017-11-16 20:19:02.224910,54.7000007629,20.8999996185
2017-11-16 20:20:02.088108,55.2000007629,20.8999996185
2017-11-16 20:21:01.853656,55.5,20.8999996185
2017-11-16 20:22:01.705523,55.7000007629,20.8999996185
2017-11-16 20:23:01.609757,55.9000015259,20.8999996185
2017-11-16 20:24:02.457940,56.2000007629,20.7999992371
2017-11-16 20:25:02.226063,56.5999984741,20.7999992371
2017-11-16 20:26:01.919927,57.0,20.7999992371
2017-11-16 20:27:01.638612,57.2999992371,20.7999992371
2017-11-16 20:28:02.273481,57.5999984741,20.7999992371
2017-11-16 20:29:02.069306,58.2000007629,20.7999992371
2017-11-16 20:30:02.311667,58.2000007629,20.7999992371
2017-11-16 20:31:02.041195,58.2999992371,20.7000007629
2017-11-16 20:32:01.697371,58.5,20.7000007629
2017-11-16 20:33:02.472798,58.7000007629,20.7000007629
2017-11-16 20:34:02.312105,58.9000015259,20.7000007629
2017-11-16 20:35:01.997471,59.0999984741,20.7000007629
2017-11-16 20:36:01.729395,59.4000015259,20.7000007629
2017-11-16 20:37:01.939871,59.5999984741,20.7000007629
2017-11-16 20:38:02.185318,59.7999992371,20.7000007629
2017-11-16 20:39:02.428980,59.9000015259,20.7000007629
2017-11-16 20:40:01.748310,59.7999992371,20.6000003815
2017-11-16 20:41:02.415536,59.7000007629,20.7000007629
2017-11-16 20:18:02.504124,57.5999984741,20.7999992371
2017-11-16 20:19:01.776279,57.2000007629,21.0
2017-11-16 20:20:01.703667,50.5,24.7000007629
2017-11-16 20:21:02.048667,48.9000015259,24.2000007629
2017-11-16 20:22:02.024852,50.9000015259,23.7999992371
2017-11-16 20:23:02.415139,50.9000015259,23.7000007629
2017-11-16 20:24:02.239436,52.2000007629,23.6000003815
